residents,bed,bath,x,y
2,1,1,7287.52,6616.72
,2,1,7101.76,6661.04
,2,4,7090.72,6542
,2,1,7212.64,6575.12
,1,1,7032.48,6641.68
2,3,1,7190.56,6713.68
4,3,3,7179.36,6630.64
,1,2,7182.24,6636.08
1,1,4,7068.48,6569.68
5,3,1,7190.56,6697.04
3,4,2,7290.24,6616.72
3,4,3,7099.04,6744.24
,1,2,7151.68,6530.8
2,1,1,7096.32,6688.72
,1,1,7157.28,6683.28
3,3,4,7232,6763.6
2,2,1,7118.4,6669.36
,2,2,7179.36,6730.32
1,2,2,7143.36,6686
3,2,3,7093.44,6622.32
2,2,1,7259.84,6735.92
2,1,1,7215.36,6638.96
3,2,1,7101.76,6619.44
3,4,1,7165.6,6641.68
4,4,5,7273.6,6594.64
2,5,6,7259.84,6597.36
,2,1,7057.44,6633.36
1,1,2,7115.68,6558.48
4,5,2,7248.64,6727.6
3,2,1,7143.36,6630.64
3,4,2,7040.8,6655.6
3,3,1,7057.44,6655.6
1,1,1,7148.96,6558.48
,2,1,7082.4,6622.32
,1,1,7146.08,6547.44
,1,1,7068.48,6697.04
3,2,1,7099.04,6644.4
1,1,2,7126.72,6641.68
,2,2,7154.4,6735.92
0,2,2,7146.08,6680.56
2,2,2,7207.04,6710.96
1,1,2,7157.28,6730.32
,3,1,7204.32,6519.76
,3,3,7270.88,6630.64
3,4,1,7148.96,6553.04
2,2,1,7168.32,6638.96
,1,1,7176.64,6752.56
0,1,1,7187.68,6652.72
4,2,1,7215.36,6600.08
6,6,5,7276.32,6722
1,1,1,7140.64,6619.44
,3,2,7209.92,6727.6
,5,4,7082.4,6547.44
,1,1,7099.04,6602.96
1,2,2,7270.88,6622.32
,2,1,7107.36,6688.72
,2,3,7182.24,6544.72
4,3,2,7212.64,6611.28
2,1,1,7143.36,6644.4
2,1,1,7279.2,6661.04
4,3,2,7090.72,6614
1,1,2,7287.52,6661.04
3,3,3,7173.92,6586.32
2,2,3,7207.04,6597.36
1,2,2,7187.68,6708.24
3,3,3,7220.96,6641.68
2,4,1,7171.04,6752.56
4,6,4,7201.6,6724.88
,5,4,7251.52,6586.32
1,1,2,7137.76,6766.32
1,3,3,7115.68,6602.96
,3,4,7218.24,6533.68
,2,1,7052,6694.32
,3,2,7126.72,6539.12
,2,2,7187.68,6572.4
,2,2,7212.64,6566.8
,2,2,7182.24,6672.24
2,3,2,7196,6625.04
,2,1,7074.08,6749.84
,1,1,7140.64,6752.56
0,1,3,7265.28,6686
1,1,2,7124,6688.72
3,2,4,7099.04,6578
,3,3,7112.96,6777.52
,2,1,7135.04,6641.68
1,1,2,7198.72,6699.92
2,1,2,7112.96,6625.04
3,4,5,7052,6569.68
2,1,2,7135.04,6608.4
1,1,1,7143.36,6633.36
3,2,1,7154.4,6616.72
1,1,2,7054.72,6591.76
2,3,3,7276.32,6658.32
1,1,2,7193.28,6539.12
2,4,2,7104.64,6683.28
4,4,3,7079.68,6619.44
5,7,2,7071.36,6558.48
,1,3,7079.68,6749.84
2,2,2,7157.28,6697.04
1,2,3,7124,6530.8
,3,1,7262.56,6591.76
2,3,2,7251.52,6680.56
0,3,1,7212.64,6683.28
1,1,1,7132.32,6680.56
1,1,1,7040.8,6633.36
1,1,1,7265.28,6630.64
,1,2,7135.04,6746.96
,5,2,7107.36,6771.92
,2,2,7054.72,6694.32
,2,1,7243.2,6589.04
2,1,1,7090.72,6680.56
1,2,1,7179.36,6677.68
4,4,4,7104.64,6755.28
2,2,1,7162.72,6578
4,3,3,7054.72,6572.4
,1,2,7171.04,6608.4
,3,2,7140.64,6553.04
1,1,2,7135.04,6614
2,2,1,7154.4,6741.52
5,5,3,7270.88,6683.28
2,1,1,7182.24,6589.04
2,2,1,7254.24,6669.36
4,4,3,7110.08,6647.28
2,2,1,7237.6,6744.24
4,6,5,7060.16,6580.72
3,3,2,7118.4,6591.76
,2,3,7218.24,6641.68
,2,1,7287.52,6638.96
3,3,3,7162.72,6533.68
4,2,1,7251.52,6619.44
,4,5,7121.28,6769.2
,4,7,7265.28,6572.4
3,2,2,7209.92,6650
,2,2,7148.96,6769.2
,2,1,7243.2,6672.24
1,2,2,7112.96,6636.08
3,5,4,7173.92,6746.96
3,2,1,7090.72,6727.6
2,2,3,7162.72,6611.28
,3,2,7115.68,6746.96
2,2,3,7146.08,6650
1,1,1,7176.64,6710.96
1,1,1,7132.32,6636.08
1,1,2,7229.28,6694.32
2,3,1,7126.72,6627.76
1,1,1,7118.4,6674.96
1,1,3,7223.68,6636.08
,3,1,7212.64,6752.56
,4,1,7054.72,6702.64
,1,3,7101.76,6749.84
2,1,1,7118.4,6719.28
0,1,1,7209.92,6633.36
2,2,4,7245.92,6564.08
1,1,1,7049.12,6644.4
,1,2,7240.32,6749.84
,3,7,7223.68,6528.08
3,3,2,7126.72,6763.6
6,4,4,7076.8,6566.8
4,2,1,7063.04,6583.44
2,3,2,7054.72,6644.4
,4,4,7220.96,6547.44
3,3,2,7215.36,6594.64
3,2,3,7137.76,6569.68
3,3,3,7096.32,6697.04
4,3,2,7248.64,6558.48
,5,4,7085.12,6763.6
,2,2,7196,6569.68
3,2,2,7276.32,6647.28
1,1,1,7248.64,6683.28
6,6,6,7251.52,6555.76
,5,4,7143.36,6536.4
1,2,5,7035.36,6594.64
0,4,4,7234.88,6630.64
3,2,1,7104.64,6572.4
5,3,1,7265.28,6591.76
,3,2,7212.64,6564.08
3,2,1,7126.72,6614
4,3,1,7093.44,6669.36
1,1,2,7187.68,6644.4
,2,3,7093.44,6647.28
5,4,3,7121.28,6652.72
2,3,1,7101.76,6688.72
2,2,4,7126.72,6625.04
0,3,1,7243.2,6661.04
3,3,3,7035.36,6647.28
2,1,1,7182.24,6558.48
,5,2,7115.68,6530.8
,3,1,7079.68,6575.12
1,2,2,7074.08,6688.72
1,1,2,7137.76,6525.36
0,1,2,7162.72,6710.96
2,2,2,7223.68,6727.6
2,2,1,7027.04,6683.28
,2,2,7220.96,6539.12
1,2,1,7052,6652.72
4,4,2,7165.6,6663.92
5,5,2,7024.16,6661.04
1,2,2,7029.76,6636.08
1,1,3,7240.32,6652.72
0,1,1,7198.72,6663.92
2,2,3,7220.96,6652.72
,4,1,7085.12,6708.24
3,2,1,7215.36,6741.52
3,5,1,7085.12,6636.08
4,3,2,7204.32,6677.68
3,3,2,7088,6691.6
2,2,1,7038.08,6641.68
,4,5,7259.84,6575.12
2,1,1,7292.96,6661.04
2,2,1,7165.6,6586.32
2,1,2,7074.08,6583.44
2,1,1,7256.96,6625.04
6,5,4,7281.92,6702.64
3,2,1,7035.36,6625.04
2,2,2,7101.76,6627.76
,1,2,7229.28,6716.56
1,1,1,7220.96,6663.92
1,1,1,7190.56,6614
1,1,2,7160,6644.4
5,3,1,7265.28,6661.04
,2,5,7254.24,6730.32
3,2,2,7121.28,6647.28
1,1,3,7121.28,6766.32
3,2,3,7243.2,6641.68
,1,3,7268,6597.36
1,1,1,7043.68,6636.08
,1,1,7270.88,6661.04
3,3,1,7259.84,6674.96
2,3,4,7270.88,6591.76
3,2,2,7292.96,6614
,2,2,7099.04,6755.28
,1,3,7262.56,6741.52
3,4,3,7259.84,6591.76
1,1,1,7107.36,6694.32
1,2,4,7065.76,6561.36
,2,3,7171.04,6647.28
,1,1,7179.36,6536.4
1,1,2,7182.24,6716.56
,1,2,7107.36,6530.8
3,3,2,7107.36,6716.56
,2,1,7151.68,6669.36
1,1,2,7184.96,6625.04
3,3,3,7162.72,6625.04
,2,4,7137.76,6544.72
2,3,2,7232,6589.04
2,2,7,7043.68,6583.44
,3,1,7032.48,6674.96
2,3,2,7162.72,6583.44
1,1,4,7212.64,6542
,1,3,7076.8,6666.64
3,2,2,7071.36,6730.32
3,4,1,7143.36,6724.88
,2,3,7220.96,6600.08
,2,3,7137.76,6777.52
,3,2,7184.96,6738.64
2,1,1,7148.96,6575.12
,2,3,7256.96,6558.48
,3,1,7160,6760.88
,1,1,7256.96,6627.76
1,1,1,7168.32,6594.64
2,2,4,7101.76,6550.16
1,3,1,7110.08,6694.32
1,1,1,7226.56,6661.04
1,1,1,7146.08,6633.36
1,1,1,7076.8,6641.68
1,1,1,7215.36,6652.72
0,3,2,7126.72,6691.6
,1,3,7093.44,6769.2
2,3,1,7187.68,6550.16
2,1,1,7151.68,6611.28
0,2,2,7223.68,6724.88
,1,2,7157.28,6522.48
3,3,2,7093.44,6688.72
2,1,1,7049.12,6661.04
3,3,2,7121.28,6760.88
4,6,2,7273.6,6713.68
1,1,1,7207.04,6683.28
1,1,1,7099.04,6619.44
1,2,2,7074.08,6638.96
2,1,4,7243.2,6578
,2,2,7193.28,6727.6
,1,2,7135.04,6780.24
3,3,3,7076.8,6738.64
2,3,2,7054.72,6564.08
2,4,6,7115.68,6522.48
4,2,2,7104.64,6544.72
,2,1,7173.92,6724.88
4,6,4,7248.64,6575.12
3,3,3,7074.08,6575.12
3,2,3,7082.4,6644.4
4,4,4,7251.52,6589.04
3,2,1,7276.32,6655.6
,2,1,7245.92,6694.32
,3,4,7262.56,6583.44
1,1,1,7137.76,6647.28
3,2,2,7193.28,6578
4,3,1,7234.88,6669.36
4,4,6,7093.44,6533.68
,2,2,7176.64,6602.96
2,1,1,7040.8,6699.92
5,5,4,7215.36,6566.8
3,2,3,7124,6699.92
,3,4,7157.28,6611.28
1,3,6,7096.32,6589.04
2,3,8,7065.76,6550.16
2,2,3,7157.28,6619.44
,1,2,7234.88,6600.08
2,1,2,7173.92,6735.92
2,3,1,7171.04,6658.32
5,4,6,7259.84,6594.64
1,1,2,7063.04,6699.92
,1,2,7132.32,6733.2
4,4,5,7215.36,6536.4
,2,1,7118.4,6539.12
4,3,4,7226.56,6722
3,4,2,7184.96,6752.56
5,3,1,7118.4,6630.64
1,1,1,7151.68,6716.56
3,3,1,7234.88,6680.56
0,1,1,7196,6661.04
2,2,2,7112.96,6655.6
,2,2,7110.08,6716.56
3,2,2,7207.04,6636.08
2,2,4,7107.36,6608.4
,1,2,7132.32,6652.72
,2,2,7157.28,6550.16
1,1,2,7054.72,6688.72
2,3,2,7173.92,6597.36
3,3,3,7268,6669.36
2,2,1,7190.56,6580.72
,2,1,7223.68,6697.04
,1,1,7196,6730.32
,2,3,7193.28,6722
,1,2,7243.2,6719.28
1,1,1,7151.68,6752.56
2,1,1,7088,6591.76
1,1,2,7187.68,6530.8
4,2,2,7140.64,6666.64
,1,3,7193.28,6661.04
,2,2,7121.28,6530.8
,2,5,7148.96,6652.72
,6,3,7110.08,6752.56
,2,2,7234.88,6591.76
,2,2,7218.24,6544.72
,3,2,7112.96,6746.96
,1,2,7176.64,6760.88
1,1,1,7085.12,6583.44
3,2,1,7154.4,6694.32
,1,3,7027.04,6647.28
0,2,3,7182.24,6730.32
2,1,1,7196,6722
0,2,3,7259.84,6702.64
3,2,4,7292.96,6666.64
,5,5,7251.52,6558.48
1,1,1,7093.44,6636.08
,3,2,7124,6771.92
2,2,1,7054.72,6666.64
1,1,2,7245.92,6697.04
3,2,2,7240.32,6705.36
4,4,4,7265.28,6611.28
2,1,2,7229.28,6672.24
1,2,3,7215.36,6710.96
,4,5,7234.88,6636.08
3,2,1,7193.28,6633.36
,1,3,7104.64,6744.24
3,3,2,7118.4,6686
,3,3,7240.32,6744.24
1,2,2,7162.72,6691.6
1,3,3,7265.28,6719.28
0,1,3,7187.68,6724.88
3,4,3,7262.56,6705.36
,2,2,7085.12,6722
2,5,4,7118.4,6522.48
,3,1,7157.28,6674.96
7,6,6,7265.28,6680.56
,3,1,7157.28,6533.68
2,4,4,7085.12,6564.08
2,1,2,7135.04,6591.76
1,1,2,7143.36,6766.32
,2,1,7074.08,6691.6
1,1,2,7063.04,6716.56
4,2,3,7256.96,6716.56
4,2,1,7043.68,6705.36
1,1,3,7207.04,6650
,1,2,7146.08,6746.96
1,1,1,7101.76,6591.76
3,4,2,7232,6583.44
,6,4,7268,6583.44
1,1,1,7115.68,6672.24
1,1,1,7251.52,6708.24
0,2,2,7179.36,6686
,3,1,7115.68,6636.08
2,2,1,7124,6597.36
1,1,4,7193.28,6602.96
,3,1,7148.96,6561.36
,4,2,7207.04,6771.92
,2,7,7237.6,6555.76
,2,2,7118.4,6766.32
2,3,3,7190.56,6566.8
3,3,3,7110.08,6544.72
,1,4,7112.96,6589.04
4,4,1,7171.04,6661.04
1,2,2,7074.08,6719.28
1,1,1,7196,6555.76
4,4,4,7251.52,6547.44
,4,2,7096.32,6542
2,1,1,7182.24,6641.68
3,2,1,7063.04,6564.08
2,2,2,7104.64,6661.04
5,5,3,7168.32,6600.08
2,1,1,7110.08,6735.92
5,5,2,7259.84,6727.6
1,2,1,7027.04,6655.6
,4,2,7038.08,6708.24
,1,2,7287.52,6663.92
2,2,2,7168.32,6611.28
,6,5,7237.6,6544.72
,2,4,7173.92,6774.64
,2,3,7196,6550.16
,2,3,7038.08,6694.32
2,3,2,7115.68,6644.4
,4,3,7220.96,6564.08
1,1,1,7146.08,6586.32
0,2,2,7046.4,6616.72
2,1,2,7179.36,6647.28
,6,6,7229.28,6533.68
2,1,1,7099.04,6633.36
3,4,4,7273.6,6674.96
,1,1,7218.24,6586.32
,1,2,7029.76,6663.92
2,2,2,7240.32,6683.28
1,1,3,7198.72,6738.64
1,1,2,7024.16,6652.72
3,2,1,7096.32,6544.72
3,4,3,7212.64,6536.4
4,4,2,7171.04,6547.44
,3,1,7049.12,6663.92
2,3,2,7240.32,6713.68
,6,2,7057.44,6583.44
,1,1,7226.56,6638.96
1,3,2,7182.24,6658.32
2,1,1,7232,6672.24
,2,3,7135.04,6517.04
3,2,1,7160,6586.32
,3,1,7201.6,6647.28
3,2,1,7204.32,6730.32
1,1,1,7262.56,6686
2,2,3,7234.88,6622.32
2,1,1,7196,6683.28
,3,1,7173.92,6661.04
1,2,1,7151.68,6591.76
2,2,1,7124,6652.72
,2,1,7273.6,6647.28
0,2,3,7295.84,6658.32
1,1,2,7151.68,6652.72
1,2,2,7090.72,6713.68
,4,2,7099.04,6741.52
,3,4,7101.76,6752.56
1,1,1,7243.2,6655.6
5,5,3,7256.96,6697.04
2,1,1,7162.72,6708.24
1,1,1,7107.36,6663.92
0,2,2,7071.36,6713.68
2,3,4,7121.28,6680.56
2,2,3,7245.92,6616.72
3,2,2,7290.24,6683.28
0,1,1,7146.08,6666.64
,4,1,7212.64,6699.92
2,3,1,7124,6650
1,1,2,7204.32,6710.96
,3,2,7054.72,6730.32
1,2,1,7151.68,6766.32
1,1,1,7146.08,6614
2,1,1,7171.04,6558.48
,3,3,7171.04,6699.92
2,2,1,7279.2,6638.96
3,3,3,7024.16,6669.36
,2,2,7232,6602.96
,3,3,7085.12,6533.68
3,4,3,7254.24,6710.96
,3,3,7088,6572.4
1,1,5,7043.68,6716.56
,2,1,7043.68,6713.68
,1,2,7184.96,6763.6
,3,2,7237.6,6758
3,2,3,7179.36,6614
1,1,2,7140.64,6578
,2,2,7068.48,6744.24
0,1,1,7126.72,6600.08
3,5,1,7085.12,6575.12
2,2,2,7107.36,6539.12
,1,1,7276.32,6614
2,2,2,7112.96,6672.24
1,1,2,7101.76,6708.24
,3,1,7154.4,6749.84
,2,1,7043.68,6633.36
2,2,2,7268,6677.68
,5,7,7270.88,6724.88
0,1,1,7151.68,6674.96
4,2,3,7281.92,6710.96
,4,4,7256.96,6619.44
1,1,2,7179.36,6644.4
,3,2,7218.24,6730.32
4,3,5,7262.56,6589.04
,1,2,7076.8,6672.24
4,3,2,7256.96,6589.04
,1,2,7281.92,6605.68
,1,2,7074.08,6727.6
1,1,2,7223.68,6583.44
1,1,1,7162.72,6686
,4,4,7256.96,6638.96
4,3,3,7074.08,6650
,6,6,7229.28,6544.72
0,2,2,7090.72,6699.92
1,1,1,7162.72,6702.64
2,1,1,7076.8,6602.96
1,1,1,7248.64,6647.28
,3,2,7049.12,6683.28
1,3,2,7049.12,6589.04
,2,1,7259.84,6619.44
,3,1,7193.28,6555.76
,1,1,7184.96,6522.48
2,2,2,7237.6,6663.92
,2,4,7226.56,6539.12
1,1,1,7179.36,6636.08
2,2,2,7279.2,6672.24
,1,1,7179.36,6741.52
3,3,2,7090.72,6555.76
3,4,4,7104.64,6539.12
,1,1,7135.04,6522.48
3,3,1,7179.36,6669.36
,1,4,7198.72,6735.92
1,1,2,7196,6702.64
0,4,2,7234.88,6752.56
2,4,4,7085.12,6605.68
3,2,1,7079.68,6674.96
,3,1,7182.24,6746.96
2,3,2,7135.04,6663.92
2,2,1,7063.04,6658.32
4,4,7,7079.68,6611.28
0,2,1,7184.96,6644.4
3,3,2,7040.8,6627.76
1,1,2,7201.6,6669.36
2,2,1,7137.76,6572.4
,2,3,7223.68,6555.76
,2,1,7132.32,6517.04
2,2,1,7157.28,6719.28
,1,2,7268,6710.96
2,2,1,7259.84,6644.4
3,4,4,7096.32,6539.12
3,2,1,7121.28,6575.12
,2,1,7154.4,6727.6
1,1,2,7104.64,6638.96
,2,3,7196,6580.72
,2,1,7099.04,6713.68
2,2,2,7151.68,6663.92
2,2,2,7209.92,6733.2
2,3,4,7162.72,6636.08
,1,2,7273.6,6680.56
1,1,1,7071.36,6630.64
,2,2,7209.92,6561.36
,1,1,7071.36,6722
,3,1,7254.24,6583.44
,3,4,7135.04,6763.6
1,1,1,7256.96,6655.6
1,1,2,7279.2,6641.68
,1,1,7212.64,6605.68
,1,1,7035.36,6652.72
6,4,2,7276.32,6702.64
,2,1,7090.72,6575.12
,2,2,7229.28,6719.28
4,5,5,7046.4,6713.68
,5,1,7276.32,6622.32
3,2,2,7223.68,6688.72
3,2,1,7190.56,6650
4,4,1,7046.4,6591.76
,3,3,7262.56,6564.08
,3,1,7137.76,6680.56
,3,2,7173.92,6744.24
1,2,2,7088,6544.72
1,2,2,7132.32,6558.48
1,1,1,7287.52,6655.6
6,7,7,7060.16,6566.8
3,3,1,7196,6578
2,4,1,7168.32,6530.8
,2,2,7165.6,6553.04
4,4,2,7137.76,6641.68
,3,3,7245.92,6749.84
1,1,2,7160,6638.96
2,2,2,7104.64,6578
,3,3,7126.72,6722
3,3,2,7160,6661.04
,3,2,7076.8,6578
1,1,1,7137.76,6589.04
2,1,1,7063.04,6669.36
0,5,4,7151.68,6708.24
2,2,6,7168.32,6766.32
5,3,2,7112.96,6580.72
,3,3,7218.24,6528.08
,1,2,7143.36,6683.28
,1,1,7196,6533.68
,1,1,7140.64,6614
0,1,2,7234.88,6758
,1,2,7090.72,6569.68
1,2,1,7245.92,6741.52
4,6,4,7190.56,6611.28
0,1,2,7240.32,6733.2
,1,2,7135.04,6539.12
2,3,1,7079.68,6597.36
,2,1,7104.64,6630.64
2,2,1,7201.6,6680.56
2,2,3,7115.68,6699.92
3,4,2,7198.72,6777.52
0,1,3,7104.64,6741.52
2,2,2,7135.04,6738.64
4,3,1,7096.32,6558.48
0,3,1,7060.16,6633.36
2,2,2,7112.96,6650
0,2,3,7148.96,6683.28
3,2,1,7196,6777.52
3,4,4,7204.32,6760.88
,2,2,7220.96,6536.4
,2,3,7184.96,6616.72
2,3,2,7132.32,6564.08
2,3,1,7262.56,6724.88
2,1,2,7173.92,6780.24
4,3,1,7101.76,6705.36
1,1,2,7204.32,6716.56
1,1,1,7099.04,6583.44
,2,2,7124,6758
,3,2,7268,6633.36
4,5,2,7121.28,6638.96
1,1,1,7148.96,6566.8
1,1,1,7093.44,6616.72
1,1,2,7060.16,6688.72
,2,1,7112.96,6680.56
4,4,3,7099.04,6544.72
5,3,1,7240.32,6746.96
1,1,1,7143.36,6616.72
0,1,1,7052,6708.24
,2,1,7046.4,6661.04
4,5,3,7248.64,6738.64
3,2,5,7184.96,6697.04
,3,6,7256.96,6555.76
3,2,2,7162.72,6608.4
3,4,3,7043.68,6616.72
,3,1,7162.72,6727.6
3,3,1,7268,6638.96
2,1,1,7099.04,6663.92
3,3,3,7284.64,6702.64
,5,4,7060.16,6555.76
,2,1,7038.08,6697.04
2,2,4,7176.64,6746.96
4,3,2,7234.88,6699.92
1,1,1,7052,6658.32
,2,1,7226.56,6713.68
4,4,3,7112.96,6583.44
1,1,1,7171.04,6744.24
2,3,3,7259.84,6663.92
5,4,2,7135.04,6625.04
2,2,1,7115.68,6605.68
3,2,1,7243.2,6650
2,2,1,7232,6666.64
1,2,1,7209.92,6614
,3,4,7209.92,6539.12
1,1,3,7118.4,6586.32
2,1,1,7160,6727.6
2,2,5,7290.24,6605.68
,4,1,7124,6663.92
1,1,1,7173.92,6652.72
4,3,3,7196,6630.64
,4,4,7237.6,6536.4
1,1,1,7168.32,6686
,3,1,7220.96,6553.04
2,1,1,7129.44,6627.76
3,3,1,7171.04,6605.68
,2,1,7229.28,6572.4
1,1,1,7165.6,6672.24
2,2,3,7154.4,6591.76
4,2,3,7063.04,6686
2,2,4,7140.64,6608.4
2,2,2,7121.28,6644.4
0,2,2,7171.04,6710.96
3,2,1,7143.36,6716.56
1,1,1,7154.4,6597.36
,4,1,7168.32,6550.16
2,3,3,7046.4,6658.32
1,1,1,7090.72,6608.4
1,1,1,7093.44,6686
4,2,2,7259.84,6652.72
2,2,1,7154.4,6663.92
4,3,5,7076.8,6555.76
,6,6,7220.96,6528.08
2,1,1,7273.6,6605.68
,4,2,7209.92,6566.8
4,3,2,7196,6738.64
,1,1,7071.36,6575.12
1,2,3,7232,6744.24
2,1,3,7110.08,6558.48
2,2,2,7099.04,6608.4
,3,2,7218.24,6616.72
0,1,1,7196,6749.84
,1,2,7243.2,6647.28
1,2,2,7121.28,6658.32
5,6,5,7265.28,6564.08
1,2,2,7146.08,6589.04
2,2,2,7290.24,6627.76
3,2,3,7212.64,6719.28
,5,6,7259.84,6744.24
,2,3,7226.56,6669.36
2,3,3,7071.36,6619.44
1,1,3,7104.64,6647.28
2,3,2,7295.84,6655.6
3,4,4,7060.16,6569.68
5,3,2,7220.96,6694.32
,3,1,7046.4,6694.32
,2,4,7076.8,6699.92
0,1,1,7198.72,6722
,1,1,7190.56,6686
3,3,1,7209.92,6644.4
1,1,2,7101.76,6702.64
1,1,1,7248.64,6650
2,1,1,7082.4,6672.24
4,4,1,7126.72,6589.04
2,2,2,7240.32,6644.4
,1,1,7157.28,6735.92
3,3,1,7143.36,6658.32
3,2,3,7107.36,6589.04
4,2,2,7082.4,6558.48
3,2,5,7276.32,6708.24
3,4,2,7207.04,6716.56
1,1,1,7207.04,6616.72
4,4,2,7129.44,6724.88
0,3,1,7176.64,6674.96
1,2,3,7082.4,6564.08
2,3,3,7209.92,6575.12
1,1,2,7262.56,6735.92
,2,1,7132.32,6530.8
,1,3,7101.76,6774.64
,3,2,7074.08,6708.24
2,2,2,7168.32,6578
0,3,3,7201.6,6630.64
,2,2,7068.48,6625.04
2,3,3,7223.68,6652.72
,2,2,7201.6,6530.8
3,3,1,7132.32,6647.28
1,1,3,7112.96,6658.32
2,1,2,7284.64,6627.76
,2,2,7232,6550.16
,2,1,7118.4,6580.72
2,2,1,7124,6782.96
3,5,5,7212.64,6616.72
4,4,2,7052,6589.04
3,2,1,7140.64,6655.6
,3,5,7201.6,6597.36
,1,3,7049.12,6713.68
1,1,1,7196,6719.28
,4,3,7090.72,6752.56
4,3,2,7124,6555.76
4,4,1,7273.6,6622.32
,1,1,7057.44,6680.56
2,2,1,7135.04,6638.96
3,4,1,7190.56,6746.96
2,2,2,7093.44,6655.6
1,1,3,7279.2,6597.36
,1,2,7121.28,6774.64
,3,3,7162.72,6569.68
,2,2,7204.32,6627.76
2,1,2,7099.04,6749.84
2,2,1,7162.72,6713.68
,3,3,7212.64,6597.36
,3,2,7074.08,6677.68
,2,1,7207.04,6572.4
,2,1,7043.68,6666.64
2,2,1,7151.68,6514.16
,1,1,7137.76,6724.88
,1,2,7223.68,6705.36
,4,2,7110.08,6744.24
3,3,1,7187.68,6777.52
3,2,1,7245.92,6733.2
2,2,1,7198.72,6661.04
3,2,1,7154.4,6622.32
,4,2,7099.04,6572.4
,2,4,7046.4,6627.76
2,1,2,7196,6647.28
3,3,1,7135.04,6566.8
3,2,4,7124,6647.28
4,5,1,7243.2,6738.64
1,1,2,7157.28,6661.04
1,3,3,7126.72,6771.92
1,1,1,7090.72,6644.4
,3,2,7234.88,6533.68
3,2,2,7052,6661.04
1,1,1,7126.72,6688.72
1,1,1,7226.56,6586.32
,1,1,7085.12,6724.88
3,3,4,7212.64,6669.36
1,1,3,7112.96,6666.64
,2,2,7220.96,6763.6
2,2,2,7068.48,6658.32
0,3,2,7096.32,6553.04
,3,2,7212.64,6658.32
,4,2,7196,6561.36
,2,2,7190.56,6727.6
2,1,3,7243.2,6694.32
,4,2,7270.88,6594.64
1,1,2,7245.92,6655.6
1,1,1,7148.96,6730.32
3,4,4,7243.2,6625.04
1,1,2,7132.32,6580.72
4,4,1,7198.72,6528.08
1,2,2,7148.96,6647.28
1,1,1,7110.08,6724.88
,3,2,7132.32,6566.8
2,2,1,7193.28,6691.6
3,3,3,7215.36,6760.88
1,1,1,7248.64,6686
2,2,1,7137.76,6644.4
3,2,2,7071.36,6625.04
3,3,1,7212.64,6638.96
4,2,3,7135.04,6569.68
1,1,1,7201.6,6586.32
2,1,1,7198.72,6702.64
1,1,1,7140.64,6652.72
,2,1,7029.76,6683.28
2,3,1,7201.6,6755.28
1,2,2,7052,6614
,2,2,7276.32,6663.92
3,4,3,7165.6,6716.56
,4,2,7063.04,6702.64
1,1,2,7281.92,6661.04
1,1,1,7182.24,6655.6
,2,3,7151.68,6544.72
1,1,1,7112.96,6605.68
1,2,3,7215.36,6614
4,4,5,7054.72,6589.04
1,1,1,7129.44,6608.4
,4,7,7071.36,6699.92
2,1,2,7212.64,6733.2
2,1,1,7187.68,6594.64
,2,1,7168.32,6744.24
4,4,2,7245.92,6727.6
,2,1,7179.36,6597.36
,1,1,7146.08,6517.04
,1,1,7259.84,6608.4
2,4,3,7110.08,6619.44
3,3,2,7284.64,6705.36
,2,5,7218.24,6530.8
1,2,1,7287.52,6647.28
,2,1,7284.64,6633.36
,1,1,7182.24,6519.76
0,1,3,7162.72,6627.76
1,1,1,7107.36,6650
1,1,3,7229.28,6710.96
1,2,1,7204.32,6672.24
1,2,1,7060.16,6666.64
2,3,2,7068.48,6547.44
1,1,1,7118.4,6672.24
2,2,1,7137.76,6758
6,5,3,7207.04,6641.68
,3,2,7124,6525.36
,6,4,7046.4,6619.44
,3,1,7220.96,6572.4
1,1,1,7151.68,6691.6
1,1,2,7151.68,6597.36
4,3,2,7082.4,6561.36
,4,3,7082.4,6536.4
,2,2,7184.96,6611.28
,4,6,7043.68,6710.96
,3,1,7187.68,6744.24
2,2,2,7165.6,6705.36
2,1,2,7262.56,6614
3,2,2,7065.76,6694.32
2,1,2,7184.96,6619.44
3,4,3,7220.96,6741.52
3,2,2,7124,6638.96
1,1,2,7223.68,6755.28
3,2,1,7074.08,6616.72
2,3,1,7240.32,6597.36
2,1,1,7151.68,6661.04
1,1,1,7063.04,6652.72
,2,3,7052,6627.76
3,2,1,7234.88,6760.88
1,1,1,7173.92,6514.16
2,3,3,7071.36,6566.8
,4,4,7157.28,6669.36
2,1,2,7157.28,6727.6
1,1,2,7135.04,6542
1,1,3,7060.16,6614
,2,2,7104.64,6605.68
,1,3,7057.44,6735.92
1,1,1,7187.68,6553.04
4,4,6,7254.24,6566.8
3,3,2,7171.04,6697.04
,2,4,7234.88,6539.12
,2,1,7063.04,6655.6
2,2,1,7148.96,6597.36
2,2,2,7182.24,6583.44
1,1,2,7179.36,6514.16
4,4,1,7065.76,6589.04
2,2,1,7168.32,6724.88
0,2,1,7218.24,6644.4
2,2,1,7193.28,6697.04
3,3,2,7101.76,6758
4,3,3,7063.04,6566.8
2,1,1,7268,6641.68
0,1,2,7182.24,6586.32
,2,3,7135.04,6514.16
