politicalparty,income,educ,abortion,republican
Republican,2148,5,1,1
Republican,2198,14,1,1
Democrat,979,9,1,0
Democrat,1657,14,1,0
Republican,1557,9,1,1
Democrat,2255,10,1,0
Democrat,1190,12,1,0
Republican,973,6,1,1
Democrat,1722,6,1,0
Democrat,450,11,1,0
Democrat,114,9,1,0
Democrat,1883,9,1,0
Democrat,1,9,1,0
Republican,1,19,1,1
Republican,644,5,1,1
Democrat,1239,11,1,0
Republican,1211,9,1,1
Democrat,176,9,1,0
Democrat,2051,9,1,0
Democrat,1017,11,1,0
Republican,1133,5,1,1
Democrat,161,12,1,0
Democrat,1,5,1,0
Republican,725,9,1,1
Democrat,1396,8,1,0
Democrat,356,5,1,0
Democrat,1108,14,1,0
Democrat,2168,9,1,0
Republican,4,5,1,1
Republican,380,5,1,1
Democrat,1247,11,1,0
Democrat,436,9,1,0
Republican,1252,8,1,1
Democrat,349,8,1,0
Democrat,7,11,1,0
Democrat,507,9,1,0
Democrat,1305,8,1,0
Democrat,572,8,1,0
Democrat,1191,12,1,0
Democrat,2222,12,1,0
Democrat,34,14,1,0
Democrat,1,6,1,0
Democrat,1892,5,1,0
Democrat,1528,6,1,0
Democrat,245,4,1,0
Democrat,655,5,1,0
Democrat,1,9,1,0
Democrat,1128,7,1,0
Democrat,437,9,1,0
Republican,1261,5,1,1
Republican,589,7,1,1
Republican,3,5,1,1
Republican,793,9,1,1
Democrat,2074,8,1,0
Democrat,1508,7,1,0
Democrat,412,5,1,0
Democrat,1421,11,1,0
Republican,1244,9,1,1
Democrat,1355,5,1,0
Democrat,106,10,1,0
Democrat,1839,5,1,0
Democrat,1535,6,1,0
Democrat,1984,5,1,0
Republican,1552,9,1,1
Democrat,1,5,1,0
Democrat,599,5,1,0
Republican,1,11,1,1
Democrat,1431,14,1,0
Republican,909,8,1,1
Democrat,164,5,1,0
Democrat,683,7,1,0
Democrat,1257,5,1,0
Democrat,2217,14,1,0
Republican,59,9,1,1
Democrat,1973,5,1,0
Republican,2078,12,1,1
Democrat,1542,7,1,0
Democrat,694,6,1,0
Democrat,495,9,1,0
Democrat,1253,4,1,0
Democrat,2197,6,1,0
Republican,525,3,1,1
Republican,1846,7,1,1
Republican,2193,4,1,1
Democrat,1505,9,1,0
Democrat,967,9,1,0
Republican,929,7,1,1
Democrat,791,5,1,0
Democrat,2201,11,1,0
Democrat,803,9,1,0
Republican,1446,11,1,1
Democrat,2303,14,1,0
Republican,511,5,1,1
Democrat,2209,11,1,0
Democrat,153,14,1,0
Democrat,671,7,1,0
Democrat,1985,5,1,0
Democrat,1214,5,1,0
Republican,1953,9,1,1
Republican,998,6,1,1
Democrat,1360,7,1,0
Democrat,2287,9,1,0
Democrat,1,5,1,0
Democrat,787,9,1,0
Democrat,882,6,1,0
Democrat,1764,9,1,0
Democrat,315,5,1,0
Democrat,2054,12,1,0
Democrat,1272,14,1,0
Democrat,1444,11,1,0
Democrat,651,5,1,0
Republican,1025,7,1,1
Democrat,427,9,1,0
Republican,1376,11,1,1
Republican,1113,10,1,1
Republican,2118,5,1,1
Democrat,1130,9,1,0
Democrat,2102,7,1,0
Democrat,425,5,1,0
Republican,1768,6,1,1
Democrat,1099,9,1,0
Democrat,246,5,1,0
Republican,1485,5,1,1
Republican,1022,7,1,1
Republican,318,5,1,1
Republican,678,5,1,1
Democrat,1430,5,1,0
Democrat,261,6,1,0
Republican,1527,5,1,1
Republican,713,7,1,1
Democrat,1718,8,1,0
Democrat,1330,9,1,0
Democrat,339,5,1,0
Democrat,2034,10,1,0
Republican,16,4,1,1
Democrat,2099,7,1,0
Republican,1587,5,1,1
Democrat,1682,6,1,0
Democrat,1340,6,1,0
Democrat,595,11,1,0
Republican,78,6,1,1
Democrat,1411,5,1,0
Republican,1697,9,1,1
Republican,1858,7,1,1
Republican,1,11,1,1
Democrat,693,7,1,0
Democrat,920,9,1,0
Democrat,1201,12,1,0
Democrat,235,11,1,0
Democrat,471,10,1,0
Republican,1383,9,1,1
Democrat,221,9,1,0
Democrat,118,5,1,0
Republican,1229,7,1,1
Democrat,855,5,1,0
Republican,675,21,1,1
Democrat,1,3,1,0
Republican,165,6,1,1
Democrat,616,5,1,0
Democrat,723,18,1,0
Democrat,2249,8,1,0
Democrat,2147,9,1,0
Democrat,26,7,1,0
Democrat,1047,11,1,0
Democrat,1581,9,1,0
Democrat,60,6,1,0
Democrat,1573,14,1,0
Democrat,809,10,1,0
Democrat,1,21,1,0
Democrat,1613,7,1,0
Republican,642,5,1,1
Republican,195,7,1,1
Republican,1,10,1,1
Republican,2115,20,1,1
Republican,1962,8,1,1
Republican,1306,9,1,1
Democrat,2279,8,1,0
Democrat,2278,9,1,0
Democrat,847,11,1,0
Democrat,179,7,1,0
Republican,541,8,1,1
Republican,448,5,1,1
Democrat,1830,9,1,0
Democrat,1986,7,1,0
Democrat,390,9,1,0
Democrat,432,7,1,0
Republican,1925,9,1,1
Democrat,1509,7,1,0
Republican,1107,9,1,1
Republican,2187,11,1,1
Republican,1218,4,1,1
Democrat,2190,4,1,0
Democrat,2003,14,1,0
Democrat,1634,11,1,0
Democrat,886,6,1,0
Democrat,2188,5,1,0
Republican,2093,6,1,1
Democrat,1046,6,1,0
Republican,899,14,1,1
Republican,406,5,1,1
Republican,188,9,1,1
Democrat,19,5,1,0
Democrat,632,9,1,0
Democrat,555,5,1,0
Democrat,8,9,1,0
Republican,1170,5,1,1
Democrat,2247,9,1,0
Republican,185,9,1,1
Democrat,871,3,1,0
Republican,1319,5,1,1
Republican,2202,7,1,1
Democrat,2163,14,1,0
Republican,1374,6,1,1
Democrat,1569,7,1,0
Democrat,1,5,1,0
Democrat,881,5,1,0
Democrat,1074,5,1,0
Republican,1515,5,1,1
Republican,1,9,1,1
Democrat,2159,8,1,0
Democrat,1890,10,1,0
Democrat,2282,5,1,0
Democrat,128,5,1,0
Democrat,1799,11,1,0
Democrat,1085,5,1,0
Republican,1,7,1,1
Democrat,207,5,1,0
Democrat,24,5,1,0
Republican,1510,5,1,1
Republican,706,9,1,1
Democrat,2261,4,1,0
Democrat,1618,5,1,0
Democrat,645,5,1,0
Democrat,868,9,1,0
Democrat,1291,9,1,0
Democrat,1574,9,1,0
Republican,1732,9,1,1
Republican,925,5,1,1
Republican,943,5,1,1
Republican,303,7,1,1
Democrat,1281,7,1,0
Democrat,1638,6,1,0
